Unnamed: 0,title,time,url,author
40,Wizards work together to conjure up in-season turnaround,"January 30, 2017",http://global.nba.com/news/wizards-work-together-to-conjure-up-in-season-turnaround/,David Aldridge
41,Shootaround: Cavs getting back on track,"January 30, 2017",http://global.nba.com/news/jan-30-shootaround-cavs-getting-back-on-track-a-bit/,NBA.com Staff
42,"Hawks outlast Melo, Knicks in 4OT classic","January 29, 2017",http://global.nba.com/news/hawks-outlast-knicks-in-a-4ot-classic/,NBA News
43,"Without Curry, Warriors still edge Blazers","January 29, 2017",http://global.nba.com/news/without-curry-warriors-still-edge-blazers/,NBA News
44,Surging Mavs stun Spurs in San Antonio,"January 29, 2017",http://global.nba.com/news/surging-mavs-stun-spurs-in-san-antonio/,NBA News
45,DeRozan returns but Magic edge Raptors,"January 29, 2017",http://global.nba.com/news/derozan-returns-but-magic-edge-raptors/,NBA News
46,"Paul George erupts as Pacers knock off Harden, Rockets","January 29, 2017",http://global.nba.com/news/paul-george-erupts-as-pacers-knock-off-harden-rockets/,NBA News
47,Kyrie and LeBron lead Cavs to win over Thunder despite Russ triple-double,"January 29, 2017",http://global.nba.com/news/kyrie-and-lebron-lead-cavs-to-win-over-thunder-despite-russ-triple-double/,NBA News
48,Trail Blazers finding success with new lineup,"January 29, 2017",http://global.nba.com/news/trail-blazers-finding-success-with-new-lineup/,NBA News
49,Motivated Morris rolling for Wizards,"January 29, 2017",http://global.nba.com/news/motivated-morris-rolling-for-wizards/,NBA News
50,"J.R. Smith: Cavs have been here before, will be fine","January 29, 2017",http://global.nba.com/news/j-r-smith-cavs-have-been-here-before-will-be-fine/,NBA News
51,Eric Bledsoe scores career-high 41 points vs. Nuggets,"January 29, 2017",http://global.nba.com/news/eric-bledsoe-scores-career-high-41-points-vs-nuggets/,Cody Cunningham
52,Gasol tops Gobert as Grizz win in Utah,"January 29, 2017",http://global.nba.com/news/grizzlies-take-the-win-in-utah/,Lesley Torrell
53,"Gallinari’s Season High Outshines Bledsoe, Suns","January 28, 2017",http://global.nba.com/news/nuggets-eclipse-suns/,dbier
54,"Cousins, Kings hold off Hornets’ late run","January 28, 2017",http://global.nba.com/news/kings-hold-off-hornets-late-run/,Shahbaz Khan
55,Steph’s splash party highlights Dubs’ rout of L.A.,"January 28, 2017",http://global.nba.com/news/stephs-splash-party-highlights-dubs-rout-of-l-a/,Andy Fahey
56,Heat defeat Pistons for 7th-straight win,"January 28, 2017",http://global.nba.com/news/pistons-103-heat-116-game-recap/,Joe Beguiristain
57,"Thomas, Celtics down Bucks in OT","January 28, 2017",http://global.nba.com/news/keys-to-the-game-celtics-112-bucks-108-ot/,Marc DAmico
58,Randle restricted from activities due to pneumonia,"January 28, 2017",http://global.nba.com/news/randle-restricted-from-activities-due-to-pneumonia/,Ty Nowell
59,Jan. 28 Shootaround — Stay ‘Melo,"January 28, 2017",http://global.nba.com/news/jan-28-shootaround-stay-melo/,NBA News
60,Heat win sixth straight in Windy City,"January 28, 2017",http://global.nba.com/news/heat-win-sixth-straight-in-windy-city/,NBA News
61,Anthony Davis leads Pelicans past Spurs,"January 28, 2017",http://global.nba.com/news/anthony-davis-leads-pelicans-past-spurs/,NBA News
62,Harden Makes History With Second 50-Point Triple-Double In Win Over Sixers,"January 27, 2017",http://global.nba.com/news/harden-makes-history-with-second-50-point-triple-double-in-win-over-sixers/,NBA News
63,Pacers hold on to win in OT,"January 27, 2017",http://global.nba.com/news/pacers-hold-on-to-win-in-ot/,NBA News
64,Melo hits game-clincher in Knicks’ thrilling win over Hornets,"January 27, 2017",http://global.nba.com/news/anthony-hits-game-clincher-in-knicks-win/,NBA News
65,Cavaliers rebound with convincing win over Nets,"January 27, 2017",http://global.nba.com/news/cavaliers-rebound-with-convincing-win-over-nets/,NBA News
66,Anthony Davis will play against Spurs; Pelicans plan to go back to previous starting frontcourt,"January 27, 2017",http://global.nba.com/news/anthony-davis-will-play-against-spurs-pelicans-plan-to-go-back-to-previous-starting-frontcourt/,Jim Eichenhofer
67,The reeling Chicago Bulls take on the scorching hot Miami Heat,"January 27, 2017",http://global.nba.com/news/keys-to-the-game-bulls-vs-heat-01-27-17/,Matt Moreno
68,Enes Kanter undergoes successful surgery,"January 27, 2017",http://global.nba.com/news/enes-kanter-undergoes-successful-surgery/,Matt Bishop
69,Race To MVP: The John Wall Show,"January 27, 2017",http://global.nba.com/news/race-to-mvp-the-john-wall-show/,NBA News
70,Kanter expected to miss significant time,"January 27, 2017",http://global.nba.com/news/kanter-expected-to-miss-significant-time/,NBA News
71,Lillard keeping All-Star snub in perspective,"January 27, 2017",http://global.nba.com/news/lillard-keeping-all-star-snub-in-perspective/,NBA News
72,Lue Aims To Recalibrate Cavs,"January 27, 2017",http://global.nba.com/news/lue-aims-to-recalibrate-cavs/,NBA News
73,Westbrook drops 45 to lead Thunder to victory,"January 27, 2017",http://global.nba.com/news/thunder-vs-dallas-mavericks-game-recap-jan-26-2017/,Nick Gallo
74,Jazz scoot past Lakers thanks to 24 points from Gordon Hayward,"January 27, 2017",http://global.nba.com/news/the-roundupjazz-96-lakers-88/,Matt Payne
75,Nuggets block-out the Suns,"January 26, 2017",http://global.nba.com/news/nuggets-block-out-the-suns/,dbier
76,Big game from Towns not enough in loss to Pacers,"January 26, 2017",http://global.nba.com/news/big-game-from-towns-not-enough-in-loss-to-pacers/,Timberwolves.com
77,"Thunder’s Westbrook, three first-time All-Stars headline All-Star reserves","January 26, 2017",http://global.nba.com/news/all-star-reserves-announced/,NBA News
78,Code Orange: SVG gives Pistons priority points to spark stretch run,"January 26, 2017",http://global.nba.com/news/code-orange-svg-gives-pistons-priority-points-to-spark-stretch-run/,Keith Langlois
79,The Magic of Nikola Jokic,"January 26, 2017",http://global.nba.com/news/the-magic-of-nikola-jokic/,Jonathan Huang
80,Jazz provide blueprint for young squads,"January 26, 2017",http://global.nba.com/news/jazz-provide-bluepring-for-young-squads/,NBA News
81,Westbrook Looks To Continue Triple-Double Streak In Matchup With Mavs,"January 26, 2017",http://global.nba.com/news/integris-game-day-report-thunder-vs-dallas-mavericks-jan-26-2017/,Nick Gallo
82,Jan. 26 Shootaround — Cavs’ woes continue,"January 26, 2017",http://global.nba.com/news/jan-26-shootaround-cavs-woes-continue/,NBA News
83,Bulls frustrations air out after loss to Hawks,"January 26, 2017",http://global.nba.com/news/bulls-frustrations-air-out-after-loss-to-hawks/,Matt Moreno
84,What To Watch For As Lakers Take On Jazz,"January 26, 2017",http://global.nba.com/news/10-things-to-know-lakers-at-jazz-12617/,Joey Ramirez
85,Westbrook passes Larry Bird for 5th in triple-doubles as Thunder win,"January 26, 2017",http://global.nba.com/news/thunder-at-new-orleans-pelicans-game-recap-jan-25-2017/,Nick Gallo
86,Marc Gasol has career night as Grizzlies hold off Raptors,"January 26, 2017",http://global.nba.com/news/game-rap-raptors-99-grizzlies-101/,JP Lopez
87,Waiters comes up clutch again to help Miami win fifth straight,"January 25, 2017",http://global.nba.com/news/heat-109-nets-106-game-recap/,Joe Beguiristain
88,Kings hand Cavs their sixth loss in eight games,"January 25, 2017",http://global.nba.com/news/kings-dethrone-cavs-in-the-clutch/,Shahbaz Khan
89,Dramatic finish leads to latest thrilling win for Sixers,"January 25, 2017",http://global.nba.com/news/at-the-buzzer-dramatic-finish-leads-to-latest-thrilling-win/,Brian Seltzer
90,Late run pushes Celtics past visiting Rockets,"January 25, 2017",http://global.nba.com/news/keys-to-the-game-celtics-120-rockets-109/,Marc DAmico
91,"Towns, Embiid headline rosters for 2017 BBVA Compass Rising Stars Challenge","January 25, 2017",http://global.nba.com/news/minnesotas-towns-and-philadelphias-embiid-headline-rosters-for-2017-bbva-compass-rising-stars-challenge/,NBA News
92,Kia Rookie Ladder: Brandon Ingram takes a spin at point guard for Lakers,"January 25, 2017",http://global.nba.com/news/kia-rookie-ladder-brandon-ingram-takes-a-spin-at-point-guard-for-lakers-2/,NBA News
93,Blogtable: Who is LeBron James angling for Cavs to add?,"January 25, 2017",http://global.nba.com/news/blogtable-who-is-lebron-james-angling-for-cavs-to-add-2/,NBA News
94,Point guard shuffle continues for Bulls,"January 25, 2017",http://global.nba.com/news/point-guard-shuffle-continues-for-bulls/,NBA News
95,LeBron James continues to press Cavs’ front office,"January 25, 2017",http://global.nba.com/news/lebron-james-continues-to-press-cavs-front-office/,NBA News
96,10 Things To Know: Lakers At Trail Blazers,"January 25, 2017",http://global.nba.com/news/10-things-to-know-lakers-at-trail-blazers-12517/,Joey Ramirez
97,Wiggins sinks Suns with buzzer-beater,"January 25, 2017",http://global.nba.com/news/wiggins-sinks-suns-with-buzzer-beater/,NBA News
98,Jokic provides hot-hand as Nuggets top Jazz,"January 25, 2017",http://global.nba.com/news/jokic-provides-hot-hand-as-nuggets-top-jazz/,NBA News
99,Sixers rally to beat Clippers in Blake Griffin’s return from injury,"January 24, 2017",http://global.nba.com/news/sixers-rally-to-beater-clippers-in-blake-griffins-return-from-injury/,NBA News
100,Shorthanded Spurs edge DeRozan-less Raptors,"January 24, 2017",http://global.nba.com/news/shorthanded-spurs-edge-derozan-less-raptors/,NBA News
101,"Wall, Beal lead Wizards past Celtics for 14th straight win at home","January 24, 2017",http://global.nba.com/news/wall-beal-lead-wizards-past-celtics-for-14th-straight-win-at-home/,NBA News
102,What To Watch For As Celtics Take On Rockets (19:30 PM EST),"January 24, 2017",http://global.nba.com/news/watch-it-rockets-at-celtics-2/,Taylor Snow
103,NBA’s top jersey sales announced,"January 24, 2017",http://global.nba.com/news/nbas-top-jersey-sales-announced/,NBA News
104,LeBron wants Cavs to add a playmaker,"January 24, 2017",http://global.nba.com/news/lebron-wants-cavs-to-add-a-playmaker/,NBA News
105,"Westbrook’s 22nd triple-double wins it, ties Larry Bird","January 24, 2017",http://global.nba.com/news/thunder-at-utah-jazz-game-recap-jan-23-2017/,Nick Gallo
106,Waiters’ buzzer-beater hands Warriors their 7th loss,"January 23, 2017",http://global.nba.com/news/warriors-lose-heartbreaker-to-heat/,Brian Witt
107,"Nets Fall to Spurs, 112-86","January 23, 2017",http://global.nba.com/news/nets-fall-to-spurs-112-86/,Danby Wong
108,Jones fills in for AD as Pelicans shock Cavs,"January 23, 2017",http://global.nba.com/news/postgame-pelicans-124-cavaliers-122/,Jim Eichenhofer
109,"Pistons can’t sustain momentum, see 3-game win streak snapped by Kings","January 23, 2017",http://global.nba.com/news/pistons-cant-sustain-momentum-see-3-game-win-streak-snapped-by-kings/,Keith Langlois
110,Warriors’ Steve Kerr to Coach West All-Stars,"January 23, 2017",http://global.nba.com/news/warriors-steve-kerr-to-coach-west-all-stars/,Official release
111,Embiid and Leonard named Players of the Week,"January 23, 2017",http://global.nba.com/news/philadelphias-embiid-and-san-antonios-leonard-named-nba-eastern-and-western-conference-players-of-the-week/,NBA News
112,Warriors Stay Atop NBA.com Power Rankings,"January 23, 2017",http://global.nba.com/news/warriors-stay-atop-nba-com-power-rankings/,NBA News
113,"Lakers navigate a sobering, somber (and educational) post-Kobe Bryant path","January 23, 2017",http://global.nba.com/news/lakers-navigate-a-sobering-somber-and-educational-post-kobe-bryant-path-2/,NBA News
114,Jeremy Lin out 3-5 more weeks with hamstring injury,"January 23, 2017",http://global.nba.com/news/jeremy-lin-out-3-5-more-weeks-with-hamstring-injury/,NBA News
115,Knicks losing as painfully as possible,"January 23, 2017",http://global.nba.com/news/knicks-losing-as-painfully-as-possible/,NBA News
116,Bledsoe serving up reminders that he’s ready for prime time,"January 23, 2017",http://global.nba.com/news/bledsoe-serving-up-reminders-that-hes-ready-for-prime-time/,NBA News
117,Clippers need Crawford now more than ever,"January 23, 2017",http://global.nba.com/news/clippers-need-crawford-now-more-than-ever/,NBA News
118,Cavs not panicking despite recent skid,"January 23, 2017",http://global.nba.com/news/cavs-not-panicking-despite-recent-skid/,NBA News
119,Strong fourth quarter pushes Suns past Raptors in Toronto,"January 22, 2017",http://global.nba.com/news/game-rap-raptors-103-suns-115/,JP Lopez
120,Timberwolves beat Nuggets with late-game run,"January 22, 2017",http://global.nba.com/news/timberwolves-beat-nuggets-with-late-game-run/,dbier
121,Lakers routed in trip to Dallas,"January 22, 2017",http://global.nba.com/news/lakers-routed-in-trip-to-dallas/,Joey Ramirez
122,"Warriors overcome Magic, win 7th straight","January 22, 2017",http://global.nba.com/news/warriors-overcome-in-orlando/,Brian Witt
123,LeBron mulls return to U.S. Olympic Team under Popovich,"January 22, 2017",http://global.nba.com/news/lebron-mulls-return-to-u-s-olympic-team-under-popovich-2/,NBA News
124,Larry Bird sounds off on Pacers,"January 22, 2017",http://global.nba.com/news/larry-bird-sounds-off-on-pacers/,NBA News
125,Leonard’s career-high pushes Spurs past Cavs in overtime,"January 22, 2017",http://global.nba.com/news/leonards-career-high-pushes-spurs-past-cavs-in-overtime/,NBA News
126,"Jazz beat Pacers, win sixth straight game","January 22, 2017",http://global.nba.com/news/the-roundup-jazz-109-pacers-100/,Matt Payne
127,"Grizzlies come up short against Rockets, 95-119","January 22, 2017",http://global.nba.com/news/grizzlies-come-up-short-against-rockets-95-119/,Roy Wells
128,Bulls hold off Kings in 102-99 thriller,"January 21, 2017",http://global.nba.com/news/bulls-hold-off-kings-in-102-99-thriller/,Luka Dukich
129,Hornets finish off Nets in fourth,"January 21, 2017",http://global.nba.com/news/hornets-finish-off-nets-in-fourth/,Miguel Ramirez
130,"Waiters, Dragic lead Heat past Bucks","January 21, 2017",http://global.nba.com/news/bucks-97-heat-109-game-recap/,Joe Beguiristain
131,"D’Angelo Russell suffers mild MCL sprain, to miss 1-2 weeks","January 21, 2017",http://global.nba.com/news/dangelo-russell-injury-update/,Ty Nowell
132,"Melo misses last-second shot, Suns escape with road win","January 21, 2017",http://global.nba.com/news/phx-107-nyk-105-melo-misses-last-second-shot-suns-escape-with-road-win/,Jonah Ballow
133,Wild finish as Morris tip at buzzer gives Pistons big win over Wizards,"January 21, 2017",http://global.nba.com/news/wild-finish-as-morris-tip-at-buzzer-gives-pistons-big-win-over-wizards/,Keith Langlois
134,Blazers finish four-game trip with gutsy overtime win in Boston,"January 21, 2017",http://global.nba.com/news/blazers-finish-four-game-trip-with-gutsy-overtime-win-in-boston/,Casey Holdahl
135,Nuggets Travel To Minnesota To Take On The Timberwolves,"January 21, 2017",http://global.nba.com/news/game-preview-timberwolves-v-nuggets-3/,Dan Bruno via RotoWire.com
136,NBA Saturday Primetime Returns As Spurs Visit Champs (20:30 ET),"January 21, 2017",http://global.nba.com/news/nba-saturday-primetime-returns-as-spurs-visit-champs-2030-et/,NBA News
137,Gobert’s Career Night Helps Jazz Grab OT Win,"January 21, 2017",http://global.nba.com/news/goberts-career-night-helps-jazz-grab-ot-win/,NBA News
138,Shootaround: More Fuel for Westbrook’s Super Season,"January 21, 2017",http://global.nba.com/news/shootaround-more-fuel-for-westbrooks-super-season/,NBA News
139,Balanced effort leads Warriors over Rockets in battle of heavyweights,"January 21, 2017",http://global.nba.com/news/balanced-effort-leads-warriors-over-rockets/,Brian Witt
140,"D’Angelo Russell suffers MCL sprain, calf strain vs. Indiana","January 21, 2017",http://global.nba.com/news/russell-suffers-mcl-sprain-calf-strain/,Joey Ramirez
141,Hornets roar past Raptors as Walker has big night,"January 20, 2017",http://global.nba.com/news/hornets-roar-past-raptors/,Miguel Ramirez
142,Bulls comeback falls short in road loss to Hawks,"January 20, 2017",http://global.nba.com/news/bulls-fall-to-hawks-102-93/,Matt Moreno
143,Nets put up 143 points in rout of Pelicans,"January 20, 2017",http://global.nba.com/news/postgame-nets-143-pelicans-114/,Jim Eichenhofer
144,Covington The Latest Hero As Sixers Win Third Straight,"January 20, 2017",http://global.nba.com/news/at-the-buzzer-covington-latest-hero-as-sixers-oust-portland-93-92/,Brian Seltzer
145,Celtics reflect on Turner’s impact ahead of return,"January 20, 2017",http://global.nba.com/news/cs-reflect-on-turners-impact-ahead-of-return/,Taylor Snow
146,"Leuer likely back, KCP closer; Pistons nearing full strength to mount a charge","January 20, 2017",http://global.nba.com/news/leuer-likely-back-kcp-closer-pistons-nearing-full-strength-to-mount-a-charge/,Keith Langlois
147,Rockets’ confidence driving their success this season,"January 20, 2017",http://global.nba.com/news/rockets-confidence-driving-their-success-this-season-2/,NBA News
148,MVP Ladder: Giannis’ Arrival,"January 20, 2017",http://global.nba.com/news/mvp-ladder-giannis-arrival/,NBA News
149,Morning Shootaround: LeBron calls Popovich ‘greatest coach of all time’,"January 20, 2017",http://global.nba.com/news/shootaround-jan-20-lebron-calls-gregg-popovich-greatest-coach-of-all-time/,NBA News
150,Bulls look to rebound with win against Hawks,"January 20, 2017",http://global.nba.com/news/keys-to-the-game-bulls-at-hawks-01-20-17/,Matt Moreno
151,"Kawhi scores 30 for fifth straight game, downs Nuggets despite Jokic’s career night","January 19, 2017",http://global.nba.com/news/kawhi-scores-30-for-fifth-straight-game-downs-nuggets-despite-jokics-career-high-35/,NBA News
152,"Wall’s Heroics Top Melo’s Scorching Performance, Porzingis’ Return","January 19, 2017",http://global.nba.com/news/walls-heroics-top-melos-scorching-performance-porzingis-return/,NBA News
153,Dragic’s 32 points too much for Mavs to overcome,"January 19, 2017",http://global.nba.com/news/dragics-32-points-too-much-for-mavs-to-overcome/,NBA News
154,LeBron’s near triple-double powers Cavs past Suns,"January 19, 2017",http://global.nba.com/news/lebrons-near-triple-double-powers-cavs-past-suns/,NBA News
155,NBA All-Star starters announced,"January 19, 2017",http://global.nba.com/news/nba-all-star-starters-announced/,NBA News
156,Western Conference Heavyweights Collide: Warriors vs. Rockets,"January 19, 2017",http://global.nba.com/news/game-preview-rockets-v-warriors-4/,Nick Brazzoni via RotoWire.com
157,NBA collective bargaining agreement officially signed,"January 19, 2017",http://global.nba.com/news/nba-collective-bargaining-agreement-officially-signed/,NBA News
158,Rudy Gay Suffers Achilles Tear,"January 19, 2017",http://global.nba.com/news/rudy-gay-injury-update-5/,Nikki Nicholson
159,Carmelo Holds The Cards In New York,"January 19, 2017",http://global.nba.com/news/carmelo-holds-the-cards-in-new-york/,NBA News
160,"Bullock punches up Pistons offense with 3-point threat, back-door cuts","January 19, 2017",http://global.nba.com/news/bullock-punches-up-pistons-offense-with-3-point-threat-back-door-cuts/,Keith Langlois
161,Anthony Davis defensive versatility one reason he’s again contender for NBA blocks title,"January 19, 2017",http://global.nba.com/news/anthony-davis-defensive-versatility-one-reason-hes-again-contender-for-nba-blocks-title/,Jim Eichenhofer
162,Cavs Look To Bounce Back vs. Suns,"January 19, 2017",http://global.nba.com/news/keybank-five-keys-cavaliers-vs-suns/,Joe Gabriele
163,5 things to know: Knicks seek 2 in a row against surging Wizards at MSG,"January 19, 2017",http://global.nba.com/news/5-things-to-know-knicks-seek-2-in-a-row-against-surging-wizards-at-msg/,Jonah Ballow
164,James Harden gives game ball to 100-year-old woman,"January 19, 2017",http://global.nba.com/news/james-harden-gives-game-ball-to-100-year-old-woman/,NBA News
165,Shootaround (Jan. 19) — Rudy Gay’s Season Finished?,"January 19, 2017",http://global.nba.com/news/shootaround-jan-19-rudy-gays-season-finished/,NBA News
166,Sacramento Kings fear Rudy Gay tore his left Achilles’ tendon,"January 19, 2017",http://global.nba.com/news/537476/,NBA News
167,"Russ Records 21st Triple-Double, But Durant Scores 40 In Warriors Win","January 19, 2017",http://global.nba.com/news/russ-records-21st-triple-double-but-durant-scores-40-in-warriors-win/,NBA News
168,Harden out-duels Giannis as Rockets beat Bucks,"January 19, 2017",http://global.nba.com/news/harden-out-duels-giannis-as-rockets-beat-bucks/,NBA News
169,D-Rose goes for 30 as Knicks get needed win in Boston,"January 18, 2017",http://global.nba.com/news/d-rose-goes-for-30-as-knicks-get-needed-win-in-boston/,NBA News
170,"Baker’s Dozen: Wiz win 13th in a row at home, best Grizz","January 18, 2017",http://global.nba.com/news/bakers-dozen-wiz-win-13th-in-a-row-at-home/,NBA News
171,"Embiid scores 26, comes up with clutch block to help Sixers top Raptors","January 18, 2017",http://global.nba.com/news/embiid-scores-26-comes-up-with-clutch-block-to-help-sixers-top-raptors/,NBA News
172,Report Card: Assessing Warriors at season’s midpoint,"January 18, 2017",http://global.nba.com/news/2016-17-midseason-report-card-pacific-division/,NBA News
173,2016-17 Midseason Report Card: Northwest Division,"January 18, 2017",http://global.nba.com/news/2016-17-midseason-report-card-northwest-division/,NBA News
174,Report Card: Assessing Spurs at season’s midpoint,"January 18, 2017",http://global.nba.com/news/2016-17-midseason-report-card-southwest-division/,NBA News
175,2016-17 Midseason Report Card: Southeast Division,"January 18, 2017",http://global.nba.com/news/2016-17-midseason-report-card-atlanta-hawks-2/,NBA News
176,Report Card: Assessing Cavaliers at season’s midpoint,"January 18, 2017",http://global.nba.com/news/2016-17-midseason-report-cards-central-division/,NBA News
177,2016-17 Midseason Report Cards: Atlantic Division,"January 18, 2017",http://global.nba.com/news/2016-17-midseason-report-cards-atlantic-division/,NBA News
178,KAT is improving as the season moves along,"January 18, 2017",http://global.nba.com/news/kat-is-improving-as-the-season-moves-along/,Kyle Ratke
179,"Despite rumors, Melo stresses commitment to NY","January 18, 2017",http://global.nba.com/news/despite-rumors-melo-stresses-commitment-to-ny/,Taylor Snow
180,"Who Should Start For East, West In All-Star Game?","January 18, 2017",http://global.nba.com/news/blogtable-who-should-start-for-east-west-in-all-star-game/,NBA News
181,Blogtable: What can the NBA do to speed up the game?,"January 18, 2017",http://global.nba.com/news/blogtable-what-can-the-nba-do-to-speed-up-the-game/,NBA News
